Idea_ID,Idea_Title,SEO_Run_ID,Search_Query,Competitor_Title,Channel,Video_ID,URL,View_Count,Duration_Seconds,Similarity,Level,Is_Strong,Discovered_At
1,Rice Titan Harvester,31,Paddy Harvesting,Bangladeshi Farmers Harvesting Paddy 🌾 |Modern Rice Farming with Harvester,Stay with Maruf,,https://www.youtube.com/watch?v=OZyeOmeNJUA,205,,0.2222,SUBSTITUTE,0,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How to Draw a Combine Harvester,Mark Easy Drawings ,,https://www.youtube.com/watch?v=xS70_QQR9gU,7937,,0.2,SUBSTITUTE,0,2026-09-04 12:07:17.092820
1,Rice Titan Harvester,31,Paddy Harvesting,How to draw HARVESTER / drawing Combine Harvester step by step,17 Easy Drawing,,https://www.youtube.com/watch?v=l9ZztVWRKtw,2159,,0.1429,SUBSTITUTE,0,2026-09-04 12:07:17.092820
1,Rice Titan Harvester,31,Paddy Harvesting,DO-IT – Farmer harvesting organic Basmati rice in India,DO IT Organic,,https://www.youtube.com/watch?v=OuInpXWh4AM,38854,,0.125,SUBSTITUTE,0,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How Tons of Rice Harvested & Processed | Modern Rice Agriculture Technology,Wondastic Tech,,https://www.youtube.com/watch?v=kT1R7Hkps5M,767235,,0.1111,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,Amazing Rice Growing process in the Philippines from Seed to Table!,Global Lens,,https://www.youtube.com/watch?v=4dxzlspJ1eg,105283,,0.1111,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,Amazing Rice Harvesting in the Village 🌾 | Modern Rice Harvesting Machine | China Rice Field,Mei Ling,,https://www.youtube.com/watch?v=NqzHigbdEew,1,,0.1,IRRELEVANT,0,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,Mini Harvester machine testing in wheat field I Mini harvester I japani harvester I paddy harvester,Blue Chemp,,https://www.youtube.com/watch?v=nBM24H2z9Vg,493988,,0.1,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,Preet Combine Harvester and Sonalika 60 Rx Tractor with Full Size Trailer,Pramod`s Life,,https://www.youtube.com/watch?v=RH-Qa4DI7k0,72651537,,0.1,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,"How To Harvest Upland Sticky Rice - Bring Upland Rice Go To Market Sell, Free Bushcraft",Phương - Free Bushcraft,,https://www.youtube.com/watch?v=kcIzl8Lb864,2471859,,0.0909,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How Taiwan Farmers Harvest Rice - Rice Planting and Harvesting Process | Farming Documentary,Sprout Garden,,https://www.youtube.com/watch?v=vi1JFOInKrI,1078473,,0.0909,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How American Farmers Harvest 9.97 Million Tons of Rice by Machine | Farming Documentary,Sprout Garden,,https://www.youtube.com/watch?v=3OHH9gSgnzs,397291,,0.0909,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,Driverless REAPER BINDER MACHINE Harvesting Paddy / Rice | Automatic Mini Reaper Binder Machine,AgriBasket Tools,,https://www.youtube.com/watch?v=B19D_qjqds4,3421947,,0.0909,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,2025 New Model Gam Harvester Boro Paddy Cutting Work | Harvester Machine,Assam Vehicle Channel ,,https://www.youtube.com/watch?v=5itpJAWmPCA,254342,,0.0833,IRRELEVANT,1,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How Taiwan Farmers Plant and Harvest Rice to a New Level | Most Satisfying Agriculture Technology,AhTech,,https://www.youtube.com/watch?v=BETc5iM9iYk,1776112,,0.0769,IRRELEVANT,1,2026-09-04 12:07:17.075606
