id,uuid,pipeline_run_id,channel_id,idea_id,stage_number,stage_name,status,retry_count,max_retries,error_message,executed_at,completed_at
1,c071c9d3-f6f4-485a-bcc5-f5fb8c61d046,1,1,1,1,STAGE_01_ELEMENT_SELECTION,TICK,0,3,,,2026-08-11 17:18:32.511155
2,c5841f8a-90a2-40bf-9de3-b4a566f39844,1,1,1,2,STAGE_02_CATEGORY_MATCHING,TICK,0,3,,,2026-08-11 17:18:32.521323
3,61ac4f66-0c5e-4e11-9057-573bccf9c301,1,1,1,3,STAGE_03_IDEA_GENERATION,TICK,0,3,,,2026-08-11 17:18:32.521323
4,1539fee5-c8c3-440e-93d4-9e7040be00ec,1,1,1,4,STAGE_04_IDEA_DUPLICATE_CHECK,TICK,0,3,,,2026-08-11 17:18:32.521852
5,2ea9c7d8-c611-45be-8c4d-5162edef15bb,1,1,1,5,STAGE_05_ESCALATION_PROMPTING,TICK,0,3,,,2026-08-11 17:18:32.521852
6,019f0e9c-dd90-4832-a2a7-d81bdfc316d6,1,1,1,6,STAGE_06_SHOT_DECOMPOSITION,TICK,0,3,,,2026-08-11 17:18:32.522382
7,8fa4dd85-f56d-4a2b-8383-68dc0af1b4f4,1,1,1,7,STAGE_07_IMAGE_PROMPT_PREP,PENDING,0,3,,,
8,7eb9c8ea-3e37-4f08-9b99-136da407f533,1,1,1,8,STAGE_08_IMAGE_GENERATION,PENDING,0,3,,,
9,66af4dd5-75e8-42db-9b10-e817e5778930,1,1,1,9,STAGE_09_IMAGE_QUALITY_AUDIT,PENDING,0,3,,,
10,0956d662-bcca-4aae-859d-fe3d698a4a26,1,1,1,10,STAGE_10_VIDEO_PROMPT_PREP,PENDING,0,3,,,
11,3613eb18-6a22-4242-821e-796532d3f79c,1,1,1,11,STAGE_11_VIDEO_GENERATION,PENDING,0,3,,,
12,9944d5f6-1398-4da7-8da5-9768a08214aa,1,1,1,12,STAGE_12_VIDEO_QUALITY_AUDIT,PENDING,0,3,,,
13,e6275ba8-b866-4280-ad64-f6e15369b175,1,1,1,13,STAGE_13_AUDIO_VOICEOVER_GEN,PENDING,0,3,,,
14,9c22e2ae-e189-44ba-894d-212b5c76c4e8,1,1,1,14,STAGE_14_AUDIO_SFX_BGM_GEN,PENDING,0,3,,,
15,43b0f175-13a7-4d8a-8b83-9d7b712129b5,1,1,1,15,STAGE_15_SUBTITLE_HUD_RENDER,PENDING,0,3,,,
16,dad60e59-b922-468e-8935-0f4928d047e6,1,1,1,16,STAGE_16_VIDEO_ASSEMBLY_STITCH,PENDING,0,3,,,
17,a4bb9a4a-ad3b-4a22-a6c4-620e0f921ae2,1,1,1,17,STAGE_17_METADATA_SEO_GEN,PENDING,0,3,,,
18,d410cdeb-b62c-4cfb-b777-b62807d65983,1,1,1,18,STAGE_18_FINAL_VIDEO_RENDER,PENDING,0,3,,,
19,4ec791ed-8e36-490b-814f-bb2108c11454,1,1,1,19,STAGE_19_YOUTUBE_UPLOAD,PENDING,0,3,,,
20,1e70d8a2-7f64-4e3d-86a4-dbd6a600e8e2,1,1,1,20,STAGE_20_YOUTUBE_PUBLISH,PENDING,0,3,,,
21,8d6ab1e9-ad70-4149-bc77-d75688cad4d5,2,2,1,1,STAGE_01_ELEMENT_SELECTION,TICK,0,3,,,2026-08-11 17:18:32.582102
22,7185856b-6151-4437-8a05-8e18a8b4bceb,2,2,1,2,STAGE_02_CATEGORY_MATCHING,TICK,0,3,,,2026-08-11 17:18:32.582102
23,fb3e90a6-aa9b-42e3-b3b6-8a9bc91f8525,2,2,1,3,STAGE_03_IDEA_GENERATION,TICK,0,3,,,2026-08-11 17:18:32.582102
24,4eae0d5e-4355-4a26-8d8c-a666cfb407e0,2,2,1,4,STAGE_04_IDEA_DUPLICATE_CHECK,TICK,0,3,,,2026-08-11 17:18:32.582102
25,780bf51c-26b3-4d60-964b-6e6c97428c60,2,2,1,5,STAGE_05_ESCALATION_PROMPTING,TICK,0,3,,,2026-08-11 17:18:32.582102
26,2ea02886-2e7e-4b4d-88e4-c51ab4b93c3a,2,2,1,6,STAGE_06_SHOT_DECOMPOSITION,TICK,0,3,,,2026-08-11 17:18:32.582102
27,7658ae2a-72bb-4cd4-9547-761c3398c1b0,2,2,1,7,STAGE_07_IMAGE_PROMPT_PREP,PENDING,0,3,,,
28,075322f8-f863-44a4-8d4c-b01b114153f4,2,2,1,8,STAGE_08_IMAGE_GENERATION,PENDING,0,3,,,
29,dc293a13-f5fe-4a30-b5e3-6b9abffb730a,2,2,1,9,STAGE_09_IMAGE_QUALITY_AUDIT,PENDING,0,3,,,
30,6f4fd1c7-9ab1-485d-a301-507342948658,2,2,1,10,STAGE_10_VIDEO_PROMPT_PREP,PENDING,0,3,,,
